investor_id,avg_gap_days
INV001890,102.6
INV001156,102.4
INV004296,102.2
INV003325,101.0
INV000522,100.8
INV000608,100.2
INV001883,99.2
INV002166,99.2
INV001367,99.0
INV001491,98.8
INV004454,98.4
INV002873,98.2
INV003684,98.2
INV001237,98.0
INV001769,98.0
INV000437,97.8
INV001304,97.6
INV002558,97.6
INV001141,97.6
INV000318,97.4
INV001190,97.0
INV000380,97.0
INV002912,97.0
INV004143,97.0
INV001070,97.0
INV002395,97.0
INV001013,96.8
INV003649,96.8
INV003234,96.6
INV003193,96.6
INV003686,96.6
INV004625,96.4
INV001891,96.4
INV001167,96.2
INV000549,96.2
INV002883,96.0
INV000335,96.0
INV003473,95.8
INV001809,95.6
INV002463,95.4
INV002372,95.2
INV003645,95.2
INV002560,95.2
INV003996,95.2
INV001772,95.0
INV000491,95.0
INV004463,94.8
INV000214,94.8
INV000663,94.4
INV002348,94.4
INV001331,94.2
INV000814,94.0
INV000651,94.0
INV002594,94.0
INV000339,94.0
INV001602,93.8
INV004704,93.8
INV000652,93.8
INV000238,93.6
INV000028,93.6
INV001005,93.6
INV004181,93.4
INV001055,93.2
INV004738,93.2
INV003985,93.0
INV000087,92.8
INV001545,92.8
INV000673,92.8
INV000737,92.6
INV001316,92.4
INV003683,92.4
INV003968,92.4
INV003350,92.4
INV001287,92.2
INV000245,92.2
INV001196,92.2
INV000217,92.0
INV001623,92.0
INV000076,91.8
INV002138,91.8
INV002418,91.6
INV003112,91.6
INV003718,91.4
INV000457,91.4
INV003028,91.4
INV000862,91.2
INV003437,91.2
INV000950,91.0
INV002984,91.0
INV004421,90.8
INV003492,90.8
INV000297,90.6
INV004392,90.4
INV002090,90.2
INV003604,90.2
INV003545,90.0
INV000783,89.8
INV003936,89.6
INV002903,89.6
INV002606,89.6
INV000145,89.4
INV003260,89.4
INV002154,89.4
INV001741,89.4
INV003521,89.0
INV002547,89.0
INV000291,89.0
INV003329,89.0
INV003733,88.8
INV000710,88.6
INV001997,88.6
INV000597,88.6
INV001418,88.6
INV001641,88.4
INV002434,88.2
INV000133,88.2
INV004146,88.2
INV000243,88.2
INV002743,88.2
INV003526,88.2
INV004015,88.0
INV004127,87.6
INV003868,87.6
INV002586,87.2
INV004247,87.2
INV004523,87.2
INV004913,87.0
INV001954,86.8
INV003744,86.8
INV000418,86.8
INV004517,86.6
INV002989,86.6
INV004174,86.6
INV003344,86.6
INV003095,86.6
INV000625,86.4
INV001912,86.4
INV001507,86.2
INV002476,86.0
INV001419,85.8
INV001982,85.8
INV003376,85.8
INV002872,85.6
INV003958,85.6
INV000004,85.4
INV003262,85.2
INV000299,85.2
INV003865,85.16666666666667
INV002627,85.0
INV004123,85.0
INV002284,85.0
INV000836,84.8
INV002001,84.8
INV001317,84.8
INV003422,84.66666666666667
