amfi_code,scheme_name,fund_house,category,cagr_1yr_pct,cagr_3yr_pct,cagr_5yr_pct_reported
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,22.277897154308548,35.10252788903541,18.94
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,20.37595706234765,33.991970400445304,12.68
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,13.073788394478303,32.478927222623,13.02
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,53.277195495404996,32.43397122906222,17.69
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,29.627681171526877,31.769242852237323,17.55
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,60.489297118400344,30.448613060027817,14.45
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,26.677583918827153,29.57511058901836,13.5
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,39.78380253854239,29.17135767741186,14.26
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,47.96379447633372,28.960211096593724,12.86
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,65.19546577826334,26.99350260734621,20.61
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,21.497414349538225,26.863103668817146,19.0
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,82.85157468100046,26.66309129954312,20.67
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,13.59304393755194,25.549670172502026,15.78
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,34.007895823651204,22.646647456747715,14.7
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,25.559539940517382,21.084691029380597,14.72
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,19.781538524100494,20.8115598266319,13.66
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,22.510248103762276,20.00321571698329,12.31
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,20.222858595384665,19.662361245910965,11.31
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,28.6975804558778,18.429918008610045,13.48
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,41.85299002066023,18.417429266835228,12.6
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,18.12461925339035,18.03973982038829,12.35
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,16.849551529398422,17.263014444437943,13.42
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,5.7101178520777784,16.263375081360643,14.23
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,14.279834500870736,14.744434832760533,15.68
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,8.495135972254552,13.974980348212673,11.46
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,15.455077019290385,11.242518737374208,15.85
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,15.822866445588701,8.0060298597036,21.88
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,22.518986942465922,7.75416750547262,17.75
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,7.430320855847317,7.392538786263403,7.94
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,7.125369741102916,6.694394239074852,8.26
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,7.241777200393584,6.314299292105274,7.95
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,5.525880326360788,5.838988442093762,5.43
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,10.462462788080341,4.061259859840338,8.71
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,3.7075527018896492,3.9154793546847033,6.41
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,-2.2257773892688015,1.2923525892154508,11.32
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,1.61022963455828,0.5257668501786883,14.14
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,-16.807959958672036,-0.7672319440258146,15.86
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,13.957994357447735,-1.337083602283895,21.82
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,-24.000309180292632,-4.151453816140693,23.8
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,-42.81949516662213,-11.703299329834216,22.62
